"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: impl","Param: payloadType","Param: seed","Param: size","Param: testType","Param: threads"
"se.su.dsv.online_concurrent.OnlineConcurrentBench.operationsRunner","thrpt",1,40,12745.423470,87.391787,"ops/s",ONLINE_ADAPTIVE_MAP,STRING_DICTIONARY,42,1024,even,1
"se.su.dsv.online_concurrent.OnlineConcurrentBench.operationsRunner","thrpt",1,40,5722.681038,182.889014,"ops/s",ONLINE_ADAPTIVE_MAP,STRING_DICTIONARY,42,8192,even,1
"se.su.dsv.online_concurrent.OnlineConcurrentBench.operationsRunner","thrpt",1,40,3529.054965,35.742884,"ops/s",ONLINE_ADAPTIVE_MAP,STRING_DICTIONARY,42,16384,even,1
"se.su.dsv.online_concurrent.OnlineConcurrentBench.operationsRunner","thrpt",1,40,328.347093,9.237474,"ops/s",ONLINE_ADAPTIVE_MAP,STRING_DICTIONARY,42,131072,even,1
"se.su.dsv.online_concurrent.OnlineConcurrentBench.operationsRunner","thrpt",1,40,34.150339,1.056170,"ops/s",ONLINE_ADAPTIVE_MAP,STRING_DICTIONARY,42,1048576,even,1
"se.su.dsv.online_concurrent.OnlineConcurrentBench.operationsRunner","thrpt",16,40,47064.750606,362.170024,"ops/s",ONLINE_ADAPTIVE_MAP,STRING_DICTIONARY,42,128,even,16
"se.su.dsv.online_concurrent.OnlineConcurrentBench.operationsRunner","thrpt",16,40,45624.027772,320.386776,"ops/s",ONLINE_ADAPTIVE_MAP,STRING_DICTIONARY,42,1024,even,16
"se.su.dsv.online_concurrent.OnlineConcurrentBench.operationsRunner","thrpt",16,40,36676.652953,424.786780,"ops/s",ONLINE_ADAPTIVE_MAP,STRING_DICTIONARY,42,8192,even,16
"se.su.dsv.online_concurrent.OnlineConcurrentBench.operationsRunner","thrpt",16,40,30962.531563,139.759308,"ops/s",ONLINE_ADAPTIVE_MAP,STRING_DICTIONARY,42,16384,even,16
"se.su.dsv.online_concurrent.OnlineConcurrentBench.operationsRunner","thrpt",16,40,5164.347032,90.545524,"ops/s",ONLINE_ADAPTIVE_MAP,STRING_DICTIONARY,42,131072,even,16
"se.su.dsv.online_concurrent.OnlineConcurrentBench.operationsRunner","thrpt",16,40,416.283501,28.159709,"ops/s",ONLINE_ADAPTIVE_MAP,STRING_DICTIONARY,42,1048576,even,16
"se.su.dsv.online_concurrent.OnlineConcurrentBench.operationsRunner","thrpt",2,40,18853.522520,220.486776,"ops/s",ONLINE_ADAPTIVE_MAP,STRING_DICTIONARY,42,128,even,2
"se.su.dsv.online_concurrent.OnlineConcurrentBench.operationsRunner","thrpt",2,40,17774.849698,112.173635,"ops/s",ONLINE_ADAPTIVE_MAP,STRING_DICTIONARY,42,1024,even,2
"se.su.dsv.online_concurrent.OnlineConcurrentBench.operationsRunner","thrpt",2,40,9930.554450,54.764997,"ops/s",ONLINE_ADAPTIVE_MAP,STRING_DICTIONARY,42,8192,even,2
"se.su.dsv.online_concurrent.OnlineConcurrentBench.operationsRunner","thrpt",2,40,6346.821850,37.269734,"ops/s",ONLINE_ADAPTIVE_MAP,STRING_DICTIONARY,42,16384,even,2
"se.su.dsv.online_concurrent.OnlineConcurrentBench.operationsRunner","thrpt",2,40,576.943914,8.825924,"ops/s",ONLINE_ADAPTIVE_MAP,STRING_DICTIONARY,42,131072,even,2
"se.su.dsv.online_concurrent.OnlineConcurrentBench.operationsRunner","thrpt",2,40,58.171968,0.694190,"ops/s",ONLINE_ADAPTIVE_MAP,STRING_DICTIONARY,42,1048576,even,2
"se.su.dsv.online_concurrent.OnlineConcurrentBench.operationsRunner","thrpt",32,40,65981.903131,900.035302,"ops/s",ONLINE_ADAPTIVE_MAP,STRING_DICTIONARY,42,128,even,32
"se.su.dsv.online_concurrent.OnlineConcurrentBench.operationsRunner","thrpt",32,40,65556.366332,765.952384,"ops/s",ONLINE_ADAPTIVE_MAP,STRING_DICTIONARY,42,1024,even,32
"se.su.dsv.online_concurrent.OnlineConcurrentBench.operationsRunner","thrpt",32,40,57044.820135,380.628111,"ops/s",ONLINE_ADAPTIVE_MAP,STRING_DICTIONARY,42,8192,even,32
"se.su.dsv.online_concurrent.OnlineConcurrentBench.operationsRunner","thrpt",32,40,47802.237185,598.256585,"ops/s",ONLINE_ADAPTIVE_MAP,STRING_DICTIONARY,42,16384,even,32
"se.su.dsv.online_concurrent.OnlineConcurrentBench.operationsRunner","thrpt",32,40,8009.850697,426.100322,"ops/s",ONLINE_ADAPTIVE_MAP,STRING_DICTIONARY,42,131072,even,32
"se.su.dsv.online_concurrent.OnlineConcurrentBench.operationsRunner","thrpt",32,40,452.811142,58.384262,"ops/s",ONLINE_ADAPTIVE_MAP,STRING_DICTIONARY,42,1048576,even,32
"se.su.dsv.online_concurrent.OnlineConcurrentBench.operationsRunner","thrpt",4,40,25382.572513,199.246753,"ops/s",ONLINE_ADAPTIVE_MAP,STRING_DICTIONARY,42,128,even,4
"se.su.dsv.online_concurrent.OnlineConcurrentBench.operationsRunner","thrpt",4,40,24488.674181,87.585720,"ops/s",ONLINE_ADAPTIVE_MAP,STRING_DICTIONARY,42,1024,even,4
"se.su.dsv.online_concurrent.OnlineConcurrentBench.operationsRunner","thrpt",4,40,15984.161478,80.091231,"ops/s",ONLINE_ADAPTIVE_MAP,STRING_DICTIONARY,42,8192,even,4
"se.su.dsv.online_concurrent.OnlineConcurrentBench.operationsRunner","thrpt",4,40,10598.051616,224.829705,"ops/s",ONLINE_ADAPTIVE_MAP,STRING_DICTIONARY,42,16384,even,4
"se.su.dsv.online_concurrent.OnlineConcurrentBench.operationsRunner","thrpt",4,40,1100.018636,25.947706,"ops/s",ONLINE_ADAPTIVE_MAP,STRING_DICTIONARY,42,131072,even,4
"se.su.dsv.online_concurrent.OnlineConcurrentBench.operationsRunner","thrpt",4,40,109.487280,2.763827,"ops/s",ONLINE_ADAPTIVE_MAP,STRING_DICTIONARY,42,1048576,even,4
"se.su.dsv.online_concurrent.OnlineConcurrentBench.operationsRunner","thrpt",1,40,14131.740658,151.638054,"ops/s",ONLINE_ADAPTIVE_MAP,STRING_DICTIONARY,42,128,iterate,1
"se.su.dsv.online_concurrent.OnlineConcurrentBench.operationsRunner","thrpt",1,40,12281.302122,98.957211,"ops/s",ONLINE_ADAPTIVE_MAP,STRING_DICTIONARY,42,1024,iterate,1
"se.su.dsv.online_concurrent.OnlineConcurrentBench.operationsRunner","thrpt",1,40,5197.023428,61.203081,"ops/s",ONLINE_ADAPTIVE_MAP,STRING_DICTIONARY,42,8192,iterate,1
"se.su.dsv.online_concurrent.OnlineConcurrentBench.operationsRunner","thrpt",1,40,2790.361798,58.260578,"ops/s",ONLINE_ADAPTIVE_MAP,STRING_DICTIONARY,42,16384,iterate,1
"se.su.dsv.online_concurrent.OnlineConcurrentBench.operationsRunner","thrpt",1,40,312.520554,3.479390,"ops/s",ONLINE_ADAPTIVE_MAP,STRING_DICTIONARY,42,131072,iterate,1
"se.su.dsv.online_concurrent.OnlineConcurrentBench.operationsRunner","thrpt",1,40,38.011374,0.604930,"ops/s",ONLINE_ADAPTIVE_MAP,STRING_DICTIONARY,42,1048576,iterate,1
